Hospital,Number of cases submitted,Patient died (%),Patient died (N),Median length stay (days),Continence needs (%),Continence needs (N),Presence of any pain (%),Presence of any pain (N),Confirmed delirium diagnosis (%)
Musgrove Park Hospital,50,12,6,13,97.8,45,100,50,92.9
James Paget Hospital,53,15.1,8,9,80.8,42,78.4,40,66.7
Royal Hampshire County Hospital,50,18,9,12,94,47,54,27,80
Princess Alexandra Hospital,65,9.2,6,15,93.5,58,98.4,62,91.7
Pinderfields Hospital,52,9.6,5,8,100,52,100,51,71.4
Queen Alexandra Hospital,50,12,6,12,98,49,16,8,100
Queen Elizabeth The Queen Mother Hospital,48,14.6,7,6,54.3,25,58.3,28,87.5
Queen Elizabeth Hospital,60,5,3,11,95,57,79.3,46,88.2
Worcestershire Royal Hospital,55,7.3,4,10,83.6,46,43.6,24,100
Royal Oldham Hospital,48,4.2,2,7,79.1,34,82.2,37,100
Royal Berkshire Hospital,55,16.4,9,12,94.5,52,87.3,48,82.4
Hull Royal Infirmary,54,18.5,10,11,96.3,52,98.1,52,66.7
Royal Preston Hospital,50,4,2,11,68.8,33,81.6,40,100
Royal Surrey County Hospital,50,12,6,16,97.9,47,98,49,81.3
The Royal Victoria Infirmary ,51,2,1,15,98,50,60.8,31,0
Horton Hospital,49,12.2,6,10,100,49,100,49,56.3
Watford General Hospital,49,14.3,7,11,97.9,47,98,48,100
Sandwell General Hospital,50,12,6,13,98,49,96,48,80.8
St Helier Hospital,10,10,1,10,100,9,20,2,66.7
Solihull Hospital,48,16.7,8,21,95.7,45,77.1,37,87.5
Southend University Hospital,54,14.8,8,7,92.6,50,88.9,48,70
Salisbury District Hospital,50,12,6,15,100,50,96,48,71.4
West Suffolk Hospital,62,14.5,9,12,84.7,50,90.3,56,33.3
Warwick Hospital,51,2,1,10,96.1,49,86,43,66.7
Royal Stoke University Hospital (formerly University Hospital of North Staffordshire),50,40,20,11,89.6,43,98,49,77.8
Salford Royal Hospital,50,14,7,12,87.5,42,62,31,84
St Mary's Hospital ,49,8.2,4,13,100,47,72.9,35,100
Princess Royal Hospital,50,6,3,10,92,46,94,47,80
St Mary's,57,19.3,11,12,85.5,47,50.9,28,50
Broomfield Hospital,50,2,1,9,98,49,96,48,50
Princess Royal Hospital,54,11.1,6,9,89.1,41,26.7,12,50
University Hospital Coventry,62,11.3,7,9,89.7,52,83.9,52,100
Northern General Hospital,50,14,7,9,96,48,100,50,91.7
Basildon University Hospital,49,16.3,8,13,100,46,97.9,46,
Leeds General Infirmary,45,2.2,1,21,95.6,43,100,45,100
North Tyneside General Hospital,50,14,7,19,96,48,90,45,83.3
Royal Bournemouth Hospital,52,11.5,6,9,93.2,41,98.1,51,100
South Tyneside District Hospital,50,18,9,14,100,48,97.9,46,60
Rotherham District General Hospital,50,4,2,7,92,46,95.9,47,100
Royal Shrewsbury Hospital,59,11.9,7,10,98.3,58,44.4,24,0
Royal United Hospital,75,5.3,4,13,97.3,73,93.3,70,75
Nottingham City Hospital,50,18,9,14,88,44,98,49,77.8
Homerton University Hospital ,54,14.8,8,11,98.1,51,96.3,52,95
West Middlesex University Hospital,54,0,0,16,95.7,44,86,43,54.5
Newham University Hospital,51,11.8,6,8,100,49,83.3,40,91.7
Royal Sussex County Hospital,50,2,1,11,76,38,92,46,83.3
Princess Royal University Hospital,51,13.7,7,11,78.7,37,72.9,35,92.3
Hereford County Hospital,50,20,10,7,92,46,100,48,78.6
Bristol Royal Infirmary,51,5.9,3,15,31.4,16,56.9,29,83.3
St George's Hospital,52,15.4,8,8,82.7,43,82.7,43,86.7
East Surrey Hospital,50,8,4,14,93.9,46,100,49,63.6
Birmingham City Hospital,50,6,3,16,97.9,47,95.9,47,71.4
University Hospital Lewisham,51,5.9,3,11,80,40,70.6,36,76.5
Great Western Hospital ,51,11.8,6,10,84,42,94.1,48,50
William Harvey Hospital,50,14,7,8,84,42,88,44,95.8
Wythenshawe Hospital,54,3.7,2,9,98.1,52,77.8,42,
Wexham Park Hospital,49,12.2,6,11,91.8,45,75.5,37,75
Whittington Hospital  ,49,2,1,14,52.1,25,85.7,42,90.9
Medway Maritime Hospital,50,8,4,10,63.8,30,10,5,78.6
St Richard's Hospital,50,8,4,13,93.9,46,83.3,40,83.3
Worthing Hospital,50,20,10,16,95.9,47,81.3,39,100
Yeovil District Hospital,46,10.9,5,12,77.3,34,75,33,80
